Timestamp,Temperature
18.1.2015 klo 4.25.06,"−1,00"
18.1.2015 klo 4.30.16,"−1,00"
18.1.2015 klo 4.35.07,"−1,00"
18.1.2015 klo 4.40.06,"−1,00"
18.1.2015 klo 4.45.06,"−1,00"
18.1.2015 klo 4.50.07,"−1,06"
18.1.2015 klo 4.55.06,"−1,00"
18.1.2015 klo 5.00.06,"−1,00"
18.1.2015 klo 5.05.06,"−1,06"
18.1.2015 klo 5.10.06,"−1,06"
18.1.2015 klo 5.15.06,"−1,13"
18.1.2015 klo 5.20.06,"−1,13"
18.1.2015 klo 5.25.05,"−1,13"
18.1.2015 klo 5.30.06,"−1,13"
18.1.2015 klo 5.35.06,"−1,06"
18.1.2015 klo 5.40.08,"−1,25"
18.1.2015 klo 5.45.05,"−1,19"
18.1.2015 klo 5.50.06,"−1,19"
18.1.2015 klo 5.55.06,"−1,19"
18.1.2015 klo 6.00.06,"−1,19"
18.1.2015 klo 6.05.06,"−1,19"
18.1.2015 klo 6.10.06,"−1,19"
18.1.2015 klo 6.15.06,"−1,25"
18.1.2015 klo 6.20.06,"−1,38"
18.1.2015 klo 6.25.06,"−1,19"
18.1.2015 klo 6.30.06,"−1,38"
18.1.2015 klo 6.35.06,"−1,44"
18.1.2015 klo 6.40.11,"−1,44"
18.1.2015 klo 6.45.06,"−1,50"
18.1.2015 klo 6.50.06,"−1,50"
18.1.2015 klo 6.55.05,"−1,56"
18.1.2015 klo 7.00.06,"−1,56"
18.1.2015 klo 7.05.05,"−1,69"
18.1.2015 klo 7.10.05,"−1,75"
18.1.2015 klo 7.15.05,"−1,81"
18.1.2015 klo 7.20.06,"−1,81"
18.1.2015 klo 7.25.05,"−1,94"
18.1.2015 klo 7.30.05,"−2,13"
18.1.2015 klo 7.35.06,"−2,13"
18.1.2015 klo 7.40.05,"−2,25"
18.1.2015 klo 7.50.05,"−2,56"
18.1.2015 klo 7.55.06,"−2,63"
18.1.2015 klo 8.00.06,"−2,63"
18.1.2015 klo 8.05.05,"−2,63"
18.1.2015 klo 8.10.20,"−2,69"
18.1.2015 klo 8.15.05,"−2,75"
18.1.2015 klo 8.20.04,"−2,81"
18.1.2015 klo 8.25.05,"−2,94"
18.1.2015 klo 8.30.05,"−2,94"
18.1.2015 klo 8.35.05,"−2,94"
18.1.2015 klo 8.40.05,"−3,00"
18.1.2015 klo 8.45.05,"−2,88"
18.1.2015 klo 8.50.06,"−2,88"
18.1.2015 klo 8.55.05,"−2,81"
18.1.2015 klo 9.00.05,"−2,75"
18.1.2015 klo 9.05.06,"−2,63"
18.1.2015 klo 9.10.29,"−2,56"
18.1.2015 klo 9.15.04,"−2,56"
18.1.2015 klo 9.20.04,"−2,56"
18.1.2015 klo 9.25.04,"−2,69"
18.1.2015 klo 9.30.06,"−2,88"
18.1.2015 klo 9.35.04,"−3,00"
18.1.2015 klo 9.40.05,"−3,00"
18.1.2015 klo 9.45.05,"−2,94"
18.1.2015 klo 9.50.07,"−3,06"
18.1.2015 klo 9.55.05,"−3,13"
18.1.2015 klo 10.00.06,"−3,13"
18.1.2015 klo 10.05.05,"−3,13"
18.1.2015 klo 10.10.04,"−3,13"
18.1.2015 klo 10.15.04,"−3,06"
18.1.2015 klo 10.20.04,"−2,81"
18.1.2015 klo 10.25.04,"−2,69"
18.1.2015 klo 10.30.06,"−2,56"
18.1.2015 klo 10.35.04,"−2,56"
18.1.2015 klo 10.40.05,"−2,56"
18.1.2015 klo 10.45.05,"−2,56"
18.1.2015 klo 10.50.10,"−2,44"
18.1.2015 klo 10.55.05,"−2,38"
18.1.2015 klo 11.00.06,"−2,25"
18.1.2015 klo 11.05.05,"−2,19"
18.1.2015 klo 11.10.06,"−2,06"
18.1.2015 klo 11.15.05,"−2,06"
18.1.2015 klo 11.20.06,"−2,06"
18.1.2015 klo 11.25.12,"−2,06"
18.1.2015 klo 11.30.06,"−2,06"
18.1.2015 klo 11.35.05,"−2,00"
18.1.2015 klo 11.40.05,"−1,94"
18.1.2015 klo 11.45.05,"−2,06"
18.1.2015 klo 11.50.06,"−2,00"
18.1.2015 klo 11.55.05,"−2,13"
18.1.2015 klo 12.00.06,"−2,13"
18.1.2015 klo 12.05.05,"−2,13"
18.1.2015 klo 12.10.06,"−2,31"
18.1.2015 klo 12.15.05,"−2,19"
18.1.2015 klo 12.20.05,"−2,38"
18.1.2015 klo 12.25.04,"−2,56"
18.1.2015 klo 12.30.05,"−2,50"
18.1.2015 klo 12.35.05,"−2,81"
18.1.2015 klo 12.40.06,"−2,94"
18.1.2015 klo 12.45.05,"−3,00"
18.1.2015 klo 12.50.06,"−3,13"
18.1.2015 klo 12.55.05,"−3,25"
18.1.2015 klo 13.00.06,"−3,31"
18.1.2015 klo 13.05.05,"−3,38"
18.1.2015 klo 13.10.06,"−3,44"
18.1.2015 klo 13.15.04,"−3,44"
18.1.2015 klo 13.20.04,"−3,44"
18.1.2015 klo 13.25.04,"−3,31"
18.1.2015 klo 13.30.04,"−3,31"
18.1.2015 klo 13.35.04,"−3,31"
18.1.2015 klo 13.40.04,"−3,50"
18.1.2015 klo 13.45.06,"−3,56"
18.1.2015 klo 13.50.05,"−3,63"
18.1.2015 klo 13.55.06,"−3,69"
18.1.2015 klo 14.00.06,"−3,75"
18.1.2015 klo 14.05.05,"−3,88"
18.1.2015 klo 14.10.05,"−3,94"
18.1.2015 klo 14.15.06,"−3,94"
18.1.2015 klo 14.20.04,"−4,00"
18.1.2015 klo 14.25.38,"−4,13"
18.1.2015 klo 14.30.06,"−4,13"
18.1.2015 klo 14.35.06,"−4,31"
18.1.2015 klo 14.40.06,"−4,38"
18.1.2015 klo 14.45.04,"−4,44"
18.1.2015 klo 14.50.06,"−4,56"
18.1.2015 klo 14.55.05,"−4,63"
18.1.2015 klo 15.00.05,"−4,63"
18.1.2015 klo 15.05.05,"−4,63"
18.1.2015 klo 15.10.05,"−4,56"
18.1.2015 klo 15.15.05,"−4,50"
18.1.2015 klo 15.20.06,"−4,50"
18.1.2015 klo 15.25.05,"−4,50"
18.1.2015 klo 15.30.11,"−4,69"
18.1.2015 klo 15.35.05,"−4,88"
18.1.2015 klo 15.40.05,"−4,94"
18.1.2015 klo 15.45.05,"−4,81"
18.1.2015 klo 15.50.05,"−4,69"
18.1.2015 klo 15.55.05,"−4,75"
18.1.2015 klo 16.00.06,"−4,81"
18.1.2015 klo 16.05.05,"−4,88"
18.1.2015 klo 16.10.05,"−4,94"
18.1.2015 klo 16.15.05,"−5,13"
18.1.2015 klo 16.20.05,"−5,00"
18.1.2015 klo 16.25.06,"−4,94"
18.1.2015 klo 16.30.06,"−4,94"
18.1.2015 klo 16.35.06,"−4,88"
18.1.2015 klo 16.40.11,"−4,88"
18.1.2015 klo 16.45.06,"−4,88"
18.1.2015 klo 16.50.06,"−5,00"
18.1.2015 klo 16.55.05,"−5,00"
18.1.2015 klo 17.00.06,"−5,06"
18.1.2015 klo 17.05.05,"−5,06"
18.1.2015 klo 17.10.06,"−5,13"
18.1.2015 klo 17.15.05,"−5,06"
18.1.2015 klo 17.20.06,"−5,13"
18.1.2015 klo 17.25.06,"−5,06"
18.1.2015 klo 17.30.07,"−5,06"
18.1.2015 klo 17.35.44,"−5,06"
18.1.2015 klo 17.40.05,"−5,13"
18.1.2015 klo 17.45.05,"−5,19"
18.1.2015 klo 17.50.06,"−5,13"
18.1.2015 klo 17.55.42,"−5,44"
18.1.2015 klo 18.00.06,"−5,50"
18.1.2015 klo 18.05.06,"−5,75"
18.1.2015 klo 18.10.06,"−6,00"
18.1.2015 klo 18.15.05,"−6,19"
18.1.2015 klo 18.20.06,"−6,38"
18.1.2015 klo 18.25.05,"−6,63"
18.1.2015 klo 18.30.05,"−6,81"
